Start Time, 2026-05-01 00:00:00
End Time, 2026-05-15 23:59:59
AdGroup ID,AdGroup Name,Campaign ID,Campaign Name,Query,Views,Clicks,Average CPC,Click Through Rate in %, Direct Units Sold,Indirect Units Sold,Direct Conversion Rate in %,Indirect Conversion Rate in %,Direct Revenue,Indirect Revenue,ROI,SUM(cost)
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cutter board with knife,391,3,1.2500,0.7673,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,3.7500
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,Kitchen products,367,4,1.2500,1.0899,1,0,25.0000,0.0000,198.0000,0.0000,39.6000,5.0000
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,paper,343,1,0.8600,0.2915,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.8600
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,chopping boards,342,5,1.2500,1.4620,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,6.2500
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car paper mat,342,8,0.9100,2.3392,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,7.2800
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,Kitchen product,337,11,1.2500,3.2641,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,13.7500
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,Car mat,330,10,0.9000,3.0303,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,bamboo chopping board,318,10,1.2500,3.1447,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,12.5000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cutter chopper board,313,7,1.2500,2.2364,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,8.7500
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,mat for car,295,3,0.9600,1.0169,1,0,33.3333,0.0000,151.0000,0.0000,52.4306,2.8800
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car paper foot mat plastic,292,9,0.8711,3.0822,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,7.8400
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable chopper board,288,17,1.2500,5.9028,3,0,17.6471,0.0000,594.0000,0.0000,27.9529,21.2500
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,label cheap sale,276,1,0.7600,0.3623,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cutting plate,266,3,1.2500,1.1278,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,3.7500
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,sticker,252,6,0.7767,2.3810,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,4.6600
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,foot paper for car,239,31,0.8858,12.9707,3,0,9.6774,0.0000,491.0000,0.0000,17.8806,27.4600
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,shopping board with knife,238,4,1.2500,1.6807,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car floor mat paper,236,19,0.9074,8.0508,1,1,5.2632,5.2632,232.0000,151.0000,22.2158,17.2400
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,wooden chopper board,235,9,1.2500,3.8298,1,0,11.1111,0.0000,198.0000,0.0000,17.6000,11.2500
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,Car mats,233,1,0.9600,0.4292,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.9600
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cut table,227,4,1.2500,1.7621,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,printer paper,221,5,0.7600,2.2624,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,3.8000
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,trending products,218,2,0.7600,0.9174,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.5200
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,kitchen vegetable cutting pad,217,10,1.2500,4.6083,1,0,10.0000,0.0000,198.0000,0.0000,15.8400,12.5000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,meat cutting board wooden,212,1,1.2500,0.4717,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cutting board knife,210,1,1.2500,0.4762,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,tsc label printer,209,1,0.7600,0.4785,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,chopping board wooden,207,5,1.2500,2.4155,1,0,20.0000,0.0000,200.0000,0.0000,32.0000,6.2500
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,wooden vegetable cutter,205,4,1.2500,1.9512,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,wood chopping board,203,6,1.2500,2.9557,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,7.5000
XNCSWBCVKJJ9,Office Supplies,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,barcode printer,199,1,0.7600,0.5025,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,vegetable cutter chopper board with knife,195,2,1.2500,1.0256,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2.5000
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,damping sheet for car,192,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
KY1IV7QVRGB6,Default adgroup,FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,car,188,3,0.9267,1.5957,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2.7800
7GO6YS9ST4EB,"Kitchen, Cookware & Serveware",FQ82X4ATPRJK,PLA_Campaign-2026-04-11-self,wooden chopping board big size,184,9,1.2500,4.8913,1,0,11.1111,0.0000,264.0000,0.0000,23.4667,11.2500
