Start Time, 2026-04-19 00:00:00
End Time, 2026-04-25 23:59:59
AdGroup ID,AdGroup Name,Campaign ID,Campaign Name,Query,Views,Clicks,Average CPC,Click Through Rate in %, Direct Units Sold,Indirect Units Sold,Direct Conversion Rate in %,Indirect Conversion Rate in %,Direct Revenue,Indirect Revenue,ROI,SUM(cost)
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,lagoti baby,137,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,baby longot,134,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,baby langoti cotton waterproof,133,7,1.4300,5.2632,1,0,14.2857,0.0000,390.0000,0.0000,38.9610,10.0100
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,kids langot,131,1,1.4300,0.7634,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.4300
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,baby langot double layer,124,2,1.4300,1.6129,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2.8600
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,muslin langot for baby,106,3,1.4300,2.8302,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,4.2900
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,new born baby langot,99,2,1.4300,2.0202,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2.8600
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,baby langot pure cotton,99,1,1.4300,1.0101,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.4300
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,newborn baby cloth,98,1,1.4300,1.0204,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.4300
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,langot baby diaper,94,8,1.4300,8.5106,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,11.4400
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,padded langot for new born baby,89,5,1.4300,5.6180,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,7.1500
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,new born baby langot cotton,87,1,1.4300,1.1494,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.4300
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,nappies for newborn,87,2,1.4300,2.2989,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2.8600
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,langot for 6 to 12 months baby,84,3,1.4300,3.5714,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,4.2900
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,baby lagoti,83,1,1.4300,1.2048,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.4300
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,langot for baby boy,78,0,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,new born baby dry feel langot,75,5,1.4300,6.6667,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,7.1500
2KGIIBZ6DGIH,Diaper & Potty Training,BOAELWNUEF5B,PLA_Campaign-2026-04-18-Langot,New born cloth,73,1,1.4300,1.3699,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.4300
